 (m)      (n)       Wavelength(W)
 46       21        507971.12500
 46       22        572190.25000
 46       23        643122.93750
 46       24        721634.06250
 46       25        808756.18750
 46       26        905731.43750
 46       27       1014066.18750
 46       28       1135604.50000
 46       29       1272626.75000
 46       30       1427986.75000
 46       31       1605301.62500
 46       32       1809224.87500
 46       33       2045844.75000
 46       34       2323281.50000
 46       35       2652611.50000
 46       36       3049343.75000
 46       37       3535884.75000
 46       38       4145846.00000
 46       39       4932050.50000
 46       40       5982539.00000
 46       41       7455790.50000
 46       42       9668769.00000
 46       43      13361059.00000
 46       44      20751434.00000
 46       45      42933756.00000
 47        1           912.21295
 47        2          3653.81616
 47        3          8239.77051
 47        4         14695.23926
 47        5         23055.93164
 47        6         33368.60547
 47        7         45691.73438
 47        8         60096.33203
 47        9         76667.03906
 47       10         95503.37500
 47       11        116721.31250
 47       12        140455.17188
 47       13        166859.84375
 47       14        196113.54688
 47       15        228421.06250
 47       16        264017.68750
 47       17        303173.96875
 47       18        346201.50000
 47       19        393459.93750
 47       20        445365.65625
 47       21        502402.31250
 47       22        565134.18750
 47       23        634222.56250
 47       24        710446.87500
 47       25        794731.00000
 47       26        888177.62500
 47       27        992112.93750
 47       28       1108144.75000
 47       29       1238241.00000
 47       30       1384835.37500
 47       31       1550972.50000
 47       32       1740511.50000
 47       33       1958416.87500
 47       34       2211183.50000
 47       35       2507473.25000
 47       36       2859101.25000
 47       37       3282611.25000
 47       38       3801903.25000
 47       39       4452829.50000
 47       40       5291734.00000
 47       41       6412525.50000
 47       42       7984245.00000
 47       43      10344981.00000
 47       44      14283611.00000
 47       45      22166774.00000
 47       46      45827696.00000
 48        1           912.19592
 48        2          3653.54297
 48        3          8238.38086
 48        4         14690.81934
 48        5         23045.05469
 48        6         33345.82812
 48        7         45649.03516
 48        8         60022.49219
 48        9         76546.89844
 48       10         95317.02344
 48       11        116443.07812
 48       12        140052.48438
 48       13        166291.81250
 48       14        195329.35938
 48       15        227357.92188
 48       16        262598.40625
 48       17        301303.96875
 48       18        343765.18750
 48       19        390316.09375
 48       20        441341.84375
 48       21        497287.78125
 48       22        558670.87500
 48       23        626093.75000
 48       24        700262.37500
 48       25        782008.31250
 48       26        872317.06250
 48       27        972364.37500
 48       28       1083563.87500
 48       29       1207629.50000
 48       30       1346658.50000
 48       31       1503243.87500
 48       32       1680629.75000
 48       33       1882927.75000
 48       34       2115426.75000
 48       35       2385045.75000
 48       36       2701012.00000
 48       37       3075912.00000
 48       38       3527368.25000
 48       39       4080839.50000
 48       40       4774516.50000
 48       41       5668416.00000
 48       42       6862571.50000
 48       43       8537045.00000
 48       44      11051967.00000
 48       45      15247649.00000
 48       46      23645030.00000
 48       47      48848832.00000
 49        1           912.17993
 49        2          3653.28613
 49        3          8237.07617
 49        4         14686.66992
 49        5         23034.84570
 49        6         33324.45703
 49        7         45608.99609
 49        8         59953.28906
 49        9         76434.38281
 49       10         95142.62500
 49       11        116182.91406
 49       12        139676.28125
 49       13        165761.71875
 49       14        194598.37500
 49       15        226368.17188
 49       16        261278.93750
 49       17        299568.18750
 49       18        341507.50000
 49       19        387408.15625
 49       20        437627.53125
 49       21        492577.15625
 49       22        552732.50000
 49       23        618645.06250
 49       24        690957.56250
 49       25        770422.18750
 49       26        857925.00000
 49       27        954515.50000
 49       28       1061445.75000
 49       29       1180220.50000
 49       30       1312664.00000
 49       31       1461008.12500
 49       32       1628012.62500
 49       33       1817129.12500
 49       34       2032732.50000
 49       35       2280449.75000
 49       36       2567642.00000
 49       37       2904126.25000
 49       38       3303292.25000
 49       39       3783888.00000
 49       40       4372997.50000
 49       41       5111248.00000
 49       42       6062488.00000
 49       43       7333133.00000
 49       44       9114737.00000
 49       45      11790410.00000
 49       46      16254086.00000
 49       47      25187568.00000
 49       48      51999896.00000
 50        1           912.16486
 50        2          3653.04492
 50        3          8235.84863
 50        4         14682.76953
 50        5         23025.25195
 50        6         33304.38281
 50        7         45571.39844
 50        8         59888.33984
 50        9         76328.85156
 50       10         94979.16406
 50       11        115939.25781
 50       12        139324.28125
 50       13        165266.18750
 50       14        193915.79688
 50       15        225445.04688
 50       16        260049.90625
 50       17        297953.62500
 50       18        339410.84375
 50       19        384712.25000
 50       20        434190.46875
 50       21        488227.03125
 50       22        547260.87500
 50       23        611798.81250
 50       24        682428.25000
 50       25        759833.31250
 50       26        844814.68750
 50       27        938314.81250
 50       28       1041449.87500
 50       29       1155551.25000
 50       30       1282218.75000
 50       31       1423391.50000
 50       32       1581441.75000
 50       33       1759302.25000
 50       34       1960641.37500
 50       35       2190107.75000
 50       36       2453681.00000
 50       37       2759182.50000
 50       38       3117043.50000
 50       39       3541490.75000
 50       40       4052444.50000
 50       41       4678680.50000
 50       42       5463367.00000
 50       43       6474340.00000
 50       44       7824666.50000
 50       45       9717868.00000
 50       46      12560995.00000
 50       47      17303834.00000
 50       48      26795754.00000
 50       49      55283632.00000
